Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score
GAIL,0.40309582541792727,0.3015597297285619,0.3614307838055069,-0.8723325974981595,0.27940121948427427,0.6379181611280078,0.5923221047016647,0.1577079422132548,30.171722396696417
M&M,0.44189965928023844,0.2969769968293745,0.34525834674454253,-0.9207708779443254,0.34681095248566857,0.6362778688365979,0.5890132419264551,0.09021775361194528,30.29343988336402
CIPLA,0.3870612441397589,0.21127380075951946,0.21976729856888158,-0.8907353693908892,0.2515460635585523,0.6056022228945219,0.5633379119582385,0.13206692989021085,30.366821464900067
TECHM,0.4442657673696804,0.3636713431585077,0.41315460983958274,-0.8943356219709209,0.3509213379472617,0.6601496991550742,0.6029047424272224,0.12705061379887606,30.372937754096036
INDUSINDBK,0.5070560424061561,0.6071131900563965,0.8110431002984215,-0.8510664590593413,0.4600001390345942,0.7472845581262364,0.684312288476134,0.18733855008862177,30.393546063021137
UTIBANK,0.4997663999084054,1.0677780523023215,1.7059661897216356,-0.5901942645698426,0.44733662603758945,0.9121697999869144,0.8674125649592286,0.5508178776940138,30.464303469636505
KOTAKBANK,0.47460305683915477,0.5599195543381337,0.6007336818821505,-0.8450689099695723,0.40362305268966875,0.7303925946242831,0.6412832135599458,0.1956950754542155,30.691057998991383
JSWSTEEL,0.5277020787271421,0.4877080565302784,0.5715179643468555,-0.9244584038012401,0.4958662805316722,0.7045460166519137,0.6353057099938995,0.08507983762353666,31.02735978773489
TATASTEEL,0.4428541249603027,0.3680208787616338,0.5338115208910333,-0.8495297805642633,0.3484690432011485,0.6617065234077566,0.6275910132746485,0.1894796401623633,31.21627866702767
TATAMOTORS,0.4870048295832201,0.2571921472586379,0.3106951798586667,-0.9521664285975903,0.4251673205160856,0.6220377235998215,0.5819416561245803,0.046473598879083866,31.691538491769194
NTPC,0.301924400247519,0.2133900067094286,0.3077326234029032,-0.7316002107851755,0.10364696844023674,0.606359674044967,0.5813355203431281,0.35379366685263025,31.7436360226193
SESAGOA,0.6216935140933181,0.5549696448557588,0.6702549759876458,-0.985520924450992,0.6591475064263539,0.7286208792427132,0.655507193612112,0.0,31.87548583928822
